,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22024,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022401229,2024-12-14,ATL @ MIL,W,22,6,2,7,0.286,1,5,0.2,1,2,0.5,0,3,3,4,1,1,3,5,-5
1,22024,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022401230,2024-12-14,HOU @ OKC,W,38,32,8,21,0.381,2,6,0.333,14,15,0.933,0,8,8,6,5,1,1,3,16
2,22024,1641717,Cason Wallace,1610612760,OKC,Oklahoma City Thunder,0022401230,2024-12-14,HOU @ OKC,W,32,5,2,6,0.333,1,4,0.25,0,0,,1,5,6,2,1,1,2,3,8
3,22024,1627832,Fred VanVleet,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,42,8,3,15,0.2,1,11,0.091,1,3,0.333,2,7,9,7,1,0,1,2,-6
4,22024,1628415,Dillon Brooks,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,33,14,5,17,0.294,4,13,0.308,0,0,,2,3,5,2,0,0,0,5,-5
5,22024,1642349,Ajay Mitchell,1610612760,OKC,Oklahoma City Thunder,0022401230,2024-12-14,HOU @ OKC,W,9,2,0,0,,0,0,,2,2,1.0,0,2,2,1,0,0,0,1,8
6,22024,1641708,Amen Thompson,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,30,19,9,15,0.6,0,1,0.0,1,3,0.333,4,3,7,1,3,0,4,3,-14
7,22024,1631106,Tari Eason,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,17,12,3,8,0.375,2,6,0.333,4,6,0.667,0,2,2,0,0,1,0,4,-12
8,22024,1631095,Jabari Smith Jr.,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,40,14,3,8,0.375,2,4,0.5,6,7,0.857,3,3,6,3,1,1,3,2,-15
9,22024,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,33,13,6,16,0.375,1,2,0.5,0,1,0.0,5,6,11,2,2,0,4,5,-5
10,22024,1630224,Jalen Green,1610612745,HOU,Houston Rockets,0022401230,2024-12-14,HOU @ OKC,L,34,12,5,14,0.357,1,8,0.125,1,1,1.0,0,3,3,2,0,1,3,2,-16
11,22024,1630198,Isaiah Joe,1610612760,OKC,Oklahoma City Thunder,0022401230,2024-12-14,HOU @ OKC,W,18,5,1,3,0.333,0,1,0.0,3,3,1.0,0,2,2,0,1,1,1,0,6
